 Date;Province;Region;Number of reporting hospitals;Total of hospitalized patients;Total in ICU;Total under respiratory support;Total on ECMO;Number of new hospital intakes;Number of new hospital discharges
13/05/2020;Brussels;Brussels;15;360;78;49;9;10;22
13/05/2020;Vlaams-Brabant;Flanders;6;71;18;12;4;4;14
14/05/2020;Luxembourg;Wallonia;3;34;3;3;0;2;1
14/05/2020;Vlaams-Brabant;Flanders;6;69;18;11;3;1;9
16/05/2020;Brabant Wallon;Wallonia;2;14;4;3;0;0;3
18/05/2020;Brussels;Brussels;15;281;66;42;6;12;16
21/05/2020;Brussels;Brussels;15;258;51;35;5;6;21
27/05/2020;Oost-Vlaanderen;Flanders;14;97;26;6;1;5;12
30/05/2020;Luik;Wallonia;12;81;12;7;2;2;14
30/05/2020;Brabant Wallon;Wallonia;2;2;1;0;0;0;1
15/03/2020;Luik;Wallonia;12;22;2;1;0;4;1
16/03/2020;Luik;Wallonia;13;24;2;2;0;2;1
17/03/2020;West-Vlaanderen;Flanders;11;35;5;6;0;11;2
21/03/2020;Antwerpen;Flanders;14;219;38;30;1;46;16
30/03/2020;Luik;Wallonia;12;476;114;97;2;66;13
01/04/2020;Antwerpen;Flanders;14;862;202;168;1;96;64
04/04/2020;Antwerpen;Flanders;14;916;230;191;2;68;81
08/04/2020;Luik;Wallonia;12;622;161;144;2;53;45
10/04/2020;Luik;Wallonia;12;629;156;141;2;46;40
12/04/2020;West-Vlaanderen;Flanders;11;631;113;73;0;40;23
13/04/2020;Brabant Wallon;Wallonia;2;70;15;11;0;2;3
20/04/2020;Brabant Wallon;Wallonia;2;50;12;9;0;0;0
25/04/2020;Namur;Wallonia;6;142;35;23;5;7;17
26/04/2020;Namur;Wallonia;6;144;32;22;6;7;2
26/04/2020;West-Vlaanderen;Flanders;11;483;83;56;1;9;13
27/04/2020;Oost-Vlaanderen;Flanders;14;466;125;66;0;12;4
29/04/2020;Antwerpen;Flanders;14;585;134;94;5;18;47
01/05/2020;Limburg;Flanders;7;255;57;33;3;21;27
02/05/2020;Luik;Wallonia;12;276;69;42;0;12;10
05/05/2020;Vlaams-Brabant;Flanders;6;132;27;17;5;6;13
06/05/2020;West-Vlaanderen;Flanders;11;304;56;33;1;6;40
07/05/2020;Vlaams-Brabant;Flanders;6;109;24;15;4;6;2
09/05/2020;West-Vlaanderen;Flanders;11;249;52;30;3;13;29
11/05/2020;Hainaut;Wallonia;14;307;47;33;5;2;4
18/05/2020;Hainaut;Wallonia;14;228;37;22;3;5;6
18/05/2020;Luik;Wallonia;12;135;31;15;1;2;5
18/05/2020;Brabant Wallon;Wallonia;2;16;4;3;0;0;0
19/05/2020;Antwerpen;Flanders;14;275;58;34;0;8;27
28/05/2020;Oost-Vlaanderen;Flanders;14;94;26;7;1;3;7
29/05/2020;Antwerpen;Flanders;14;134;37;20;1;5;17
18/03/2020;Hainaut;Wallonia;14;130;29;21;1;25;4
18/03/2020;Namur;Wallonia;6;6;1;1;0;4;0
18/03/2020;Oost-Vlaanderen;Flanders;14;52;12;10;0;24;3
20/03/2020;West-Vlaanderen;Flanders;11;99;17;13;0;25;8
22/03/2020;Oost-Vlaanderen;Flanders;14;153;37;24;0;20;2
22/03/2020;West-Vlaanderen;Flanders;11;156;27;21;0;27;7
26/03/2020;Limburg;Flanders;7;323;71;54;0;54;19
29/03/2020;Vlaams-Brabant;Flanders;6;269;66;42;3;29;15
30/03/2020;Luxembourg;Wallonia;3;107;18;14;0;12;7
31/03/2020;Hainaut;Wallonia;14;637;132;114;5;54;55
03/04/2020;Oost-Vlaanderen;Flanders;14;642;150;111;3;52;49
13/04/2020;Brussels;Brussels;15;908;189;138;15;37;35
18/04/2020;Namur;Wallonia;6;173;43;28;3;7;8
21/04/2020;West-Vlaanderen;Flanders;11;574;105;63;1;28;47
22/04/2020;Limburg;Flanders;7;341;79;62;1;14;25
24/04/2020;Vlaams-Brabant;Flanders;6;206;52;29;6;14;15
26/04/2020;Luik;Wallonia;12;394;103;73;1;11;3
29/04/2020;Luxembourg;Wallonia;3;67;11;7;0;6;3
29/04/2020;Namur;Wallonia;6;130;25;18;5;6;11
04/05/2020;West-Vlaanderen;Flanders;11;353;70;35;0;8;2
05/05/2020;Oost-Vlaanderen;Flanders;14;320;73;36;2;8;29
08/05/2020;West-Vlaanderen;Flanders;11;267;55;35;1;8;25
12/05/2020;Brabant Wallon;Wallonia;2;25;7;2;0;1;1
15/05/2020;Antwerpen;Flanders;14;337;66;43;0;10;24
20/05/2020;Brussels;Brussels;15;268;51;33;5;10;30
23/05/2020;Antwerpen;Flanders;14;219;48;27;0;5;18
24/05/2020;West-Vlaanderen;Flanders;11;217;41;17;1;6;5
28/05/2020;Brussels;Brussels;15;195;40;18;3;2;13
29/05/2020;Brussels;Brussels;15;187;38;18;2;5;19
16/03/2020;Limburg;Flanders;7;25;9;4;0;7;0
18/03/2020;Vlaams-Brabant;Flanders;5;36;7;4;0;5;2
31/03/2020;Limburg;Flanders;7;512;112;72;0;87;42
02/04/2020;Antwerpen;Flanders;14;875;211;166;1;85;64
06/04/2020;Oost-Vlaanderen;Flanders;14;691;154;116;2;50;16
11/04/2020;Brussels;Brussels;14;798;179;142;14;43;61
13/04/2020;Hainaut;Wallonia;14;758;137;108;9;25;10
15/04/2020;Brussels;Brussels;16;857;174;139;14;45;71
15/04/2020;Oost-Vlaanderen;Flanders;14;650;155;107;4;43;50
21/04/2020;Vlaams-Brabant;Flanders;6;242;56;29;4;17;17
26/04/2020;Oost-Vlaanderen;Flanders;14;462;121;70;0;17;10
28/04/2020;Brussels;Brussels;15;651;147;105;14;25;43
28/04/2020;Oost-Vlaanderen;Flanders;14;424;111;62;0;14;40
02/05/2020;Antwerpen;Flanders;14;525;126;77;5;18;22
03/05/2020;Namur;Wallonia;6;113;24;14;4;1;1
04/05/2020;Brabant Wallon;Wallonia;2;39;11;5;0;1;0
05/05/2020;Brussels;Brussels;15;502;109;77;14;18;46
06/05/2020;Limburg;Flanders;7;226;53;28;2;9;27
06/05/2020;Vlaams-Brabant;Flanders;6;115;24;15;5;7;15
08/05/2020;Oost-Vlaanderen;Flanders;14;245;60;33;2;5;16
11/05/2020;Oost-Vlaanderen;Flanders;14;225;50;29;2;0;5
16/05/2020;Luxembourg;Wallonia;3;29;4;3;0;1;2
17/05/2020;Antwerpen;Flanders;14;296;67;38;0;2;4
17/05/2020;West-Vlaanderen;Flanders;11;223;41;21;1;11;3
22/05/2020;Luik;Wallonia;12;116;23;9;2;3;3
22/05/2020;Vlaams-Brabant;Flanders;6;31;12;5;3;0;2
23/05/2020;West-Vlaanderen;Flanders;11;205;40;19;1;7;10
25/05/2020;Limburg;Flanders;7;115;19;13;0;13;2
26/03/2020;Luik;Wallonia;12;286;68;50;2;60;23
29/03/2020;Antwerpen;Flanders;14;770;151;125;1;64;30
29/03/2020;Brussels;Brussels;15;656;131;104;5;98;23
30/03/2020;Hainaut;Wallonia;14;646;131;112;4;54;19
30/03/2020;Limburg;Flanders;7;481;110;79;0;41;15
03/04/2020;Luik;Wallonia;12;573;145;129;2;37;32
04/04/2020;Hainaut;Wallonia;14;706;154;125;7;58;51
22/04/2020;Luxembourg;Wallonia;3;83;18;14;0;3;9
29/04/2020;Vlaams-Brabant;Flanders;6;170;30;23;7;10;14
03/05/2020;Luik;Wallonia;12;269;65;40;0;3;11
05/05/2020;Brabant Wallon;Wallonia;2;29;9;5;0;1;6
10/05/2020;Brussels;Brussels;15;429;91;59;10;10;6
12/05/2020;Antwerpen;Flanders;14;400;81;60;2;13;29
15/05/2020;Vlaams-Brabant;Flanders;6;74;17;10;3;3;5
17/05/2020;Vlaams-Brabant;Flanders;6;54;14;9;3;2;1
27/05/2020;Antwerpen;Flanders;14;174;39;21;1;5;16
28/05/2020;Hainaut;Wallonia;14;98;8;6;1;2;12
29/05/2020;Oost-Vlaanderen;Flanders;14;97;25;7;1;3;1
30/05/2020;West-Vlaanderen;Flanders;11;137;23;11;0;12;25
18/03/2020;Antwerpen;Flanders;14;125;19;14;1;35;26
19/03/2020;Hainaut;Wallonia;14;167;36;29;1;33;11
21/03/2020;Vlaams-Brabant;Flanders;6;84;20;12;0;17;6
23/03/2020;Oost-Vlaanderen;Flanders;14;166;41;32;0;22;4
25/03/2020;West-Vlaanderen;Flanders;11;298;55;35;0;83;12
28/03/2020;Hainaut;Wallonia;14;548;115;99;4;84;28
29/03/2020;Namur;Wallonia;6;102;26;23;2;22;7
30/03/2020;Brabant Wallon;Wallonia;2;69;18;15;0;9;1
01/04/2020;Brussels;Brussels;16;843;183;144;10;85;45
03/04/2020;Vlaams-Brabant;Flanders;6;344;84;59;5;26;25
04/04/2020;Namur;Wallonia;6;144;39;33;0;12;12
16/04/2020;Vlaams-Brabant;Flanders;6;272;60;40;3;21;34
18/04/2020;Limburg;Flanders;7;381;88;63;1;41;41
18/04/2020;Vlaams-Brabant;Flanders;6;244;58;32;3;13;25
18/04/2020;West-Vlaanderen;Flanders;11;584;113;71;2;21;49
22/04/2020;West-Vlaanderen;Flanders;11;554;91;56;1;18;35
26/04/2020;Brussels;Brussels;15;671;156;108;15;26;12
30/04/2020;Brussels;Brussels;15;615;140;99;16;30;50
30/04/2020;Vlaams-Brabant;Flanders;6;153;30;22;6;7;21
02/05/2020;Brabant Wallon;Wallonia;2;34;10;7;0;0;0
05/05/2020;Luxembourg;Wallonia;3;49;7;5;0;3;4
05/05/2020;Namur;Wallonia;6;109;20;13;4;6;23
11/05/2020;Namur;Wallonia;6;94;19;9;3;2;1
15/05/2020;Hainaut;Wallonia;14;236;38;22;2;7;24
17/05/2020;Hainaut;Wallonia;14;227;37;22;2;6;1
21/05/2020;Hainaut;Wallonia;14;182;21;12;2;2;19
21/05/2020;Luik;Wallonia;12;117;24;11;1;5;12
21/05/2020;West-Vlaanderen;Flanders;11;218;40;18;1;12;22
22/05/2020;Brussels;Brussels;15;264;56;42;6;6;12
23/05/2020;Oost-Vlaanderen;Flanders;14;118;29;10;1;4;15
26/05/2020;Luxembourg;Wallonia;3;27;1;0;0;5;2
26/05/2020;Namur;Wallonia;6;36;9;4;1;1;20
27/05/2020;Hainaut;Wallonia;14;111;10;6;1;3;20
20/03/2020;Luxembourg;Wallonia;3;26;7;5;1;9;4
23/03/2020;West-Vlaanderen;Flanders;11;180;31;25;0;29;3
27/03/2020;Limburg;Flanders;7;396;78;55;0;91;19
27/03/2020;Luik;Wallonia;12;347;88;68;2;75;25
31/03/2020;Brussels;Brussels;16;818;176;139;7;101;71
03/04/2020;Limburg;Flanders;7;516;105;73;0;67;36
06/04/2020;Namur;Wallonia;6;148;41;32;2;6;2
06/04/2020;Brabant Wallon;Wallonia;2;66;19;14;0;4;1
08/04/2020;Antwerpen;Flanders;14;940;229;181;2;52;75
11/04/2020;Brabant Wallon;Wallonia;2;67;15;11;0;5;5
14/04/2020;Vlaams-Brabant;Flanders;6;298;69;43;4;11;11
14/04/2020;Brabant Wallon;Wallonia;2;70;14;11;0;2;2
21/04/2020;Brussels;Brussels;15;747;168;128;15;27;74
29/04/2020;Limburg;Flanders;7;287;67;43;3;26;30
29/04/2020;Oost-Vlaanderen;Flanders;14;401;106;57;0;21;47
04/05/2020;Hainaut;Wallonia;14;431;70;50;5;12;11
07/05/2020;Limburg;Flanders;7;218;50;30;2;8;17
14/05/2020;Oost-Vlaanderen;Flanders;14;184;47;21;2;8;20
16/05/2020;Antwerpen;Flanders;14;298;61;41;0;9;33
18/05/2020;Limburg;Flanders;7;122;28;13;1;4;0
18/05/2020;Oost-Vlaanderen;Flanders;14;156;39;15;1;4;1
21/05/2020;Vlaams-Brabant;Flanders;6;31;12;6;3;0;2
23/05/2020;Hainaut;Wallonia;14;161;16;9;2;6;15
23/05/2020;Vlaams-Brabant;Flanders;6;35;11;5;3;4;0
26/05/2020;Brussels;Brussels;15;238;51;31;3;5;15
27/05/2020;Brussels;Brussels;15;205;45;22;2;9;16
24/03/2020;West-Vlaanderen;Flanders;10;216;37;27;0;48;9
29/03/2020;Oost-Vlaanderen;Flanders;14;514;113;78;1;72;21
30/03/2020;Brussels;Brussels;15;790;164;132;6;53;31
02/04/2020;Hainaut;Wallonia;14;678;150;125;7;47;50
14/04/2020;Oost-Vlaanderen;Flanders;14;666;152;109;4;39;28
21/04/2020;Hainaut;Wallonia;14;693;116;87;9;53;66
22/04/2020;Antwerpen;Flanders;14;702;164;128;4;19;68
25/04/2020;Hainaut;Wallonia;14;583;94;72;9;27;64
25/04/2020;West-Vlaanderen;Flanders;11;480;86;57;1;18;46
26/04/2020;Brabant Wallon;Wallonia;2;38;11;6;0;1;0
30/04/2020;Luxembourg;Wallonia;3;62;11;6;0;1;7
30/04/2020;West-Vlaanderen;Flanders;11;397;80;44;1;14;57
02/05/2020;Vlaams-Brabant;Flanders;6;139;28;19;5;0;4
06/05/2020;Antwerpen;Flanders;14;532;98;67;4;27;27
06/05/2020;Namur;Wallonia;6;104;20;14;3;2;5
07/05/2020;Brussels;Brussels;15;452;94;68;12;18;51
07/05/2020;Oost-Vlaanderen;Flanders;14;263;60;37;2;12;32
11/05/2020;West-Vlaanderen;Flanders;11;256;49;31;3;6;1
16/05/2020;Vlaams-Brabant;Flanders;6;54;15;9;3;2;6
18/05/2020;West-Vlaanderen;Flanders;11;235;43;22;1;11;0
24/05/2020;Brabant Wallon;Wallonia;2;11;2;2;0;0;1
25/05/2020;Luik;Wallonia;12;107;22;9;2;1;1
25/05/2020;Luxembourg;Wallonia;3;24;2;1;0;0;0
25/05/2020;Vlaams-Brabant;Flanders;6;32;11;4;3;1;0
30/05/2020;Limburg;Flanders;7;71;16;11;0;5;8
16/03/2020;Antwerpen;Flanders;14;63;12;5;0;12;1
22/03/2020;Brussels;Brussels;16;283;58;42;2;41;13
25/03/2020;Vlaams-Brabant;Flanders;6;172;42;23;1;31;5
26/03/2020;Antwerpen;Flanders;13;522;96;79;1;74;25
27/03/2020;Namur;Wallonia;6;79;22;20;2;11;0
04/04/2020;Brussels;Brussels;16;888;197;164;12;75;99
05/04/2020;Luxembourg;Wallonia;3;119;28;24;0;3;1
12/04/2020;Brussels;Brussels;15;819;179;140;14;49;30
13/04/2020;Luxembourg;Wallonia;3;109;20;17;1;6;2
15/04/2020;Vlaams-Brabant;Flanders;6;287;66;40;3;18;18
22/04/2020;Vlaams-Brabant;Flanders;6;220;51;30;5;7;16
23/04/2020;Antwerpen;Flanders;14;681;163;129;5;35;48
23/04/2020;Hainaut;Wallonia;14;653;115;77;8;34;34
23/04/2020;Brabant Wallon;Wallonia;2;35;12;9;0;3;6
08/05/2020;Hainaut;Wallonia;14;329;50;36;6;14;12
08/05/2020;Vlaams-Brabant;Flanders;6;104;26;14;4;3;9
13/05/2020;Brabant Wallon;Wallonia;2;17;6;2;0;0;7
14/05/2020;Antwerpen;Flanders;14;354;68;49;1;10;33
14/05/2020;Hainaut;Wallonia;14;252;41;30;4;12;31
16/05/2020;Luik;Wallonia;12;138;34;19;1;10;13
17/05/2020;Luxembourg;Wallonia;3;30;3;3;0;1;0
20/05/2020;Oost-Vlaanderen;Flanders;14;138;32;13;2;6;9
20/05/2020;West-Vlaanderen;Flanders;11;226;40;21;1;17;23
23/05/2020;Luik;Wallonia;12;106;23;10;2;6;18
23/05/2020;Brabant Wallon;Wallonia;2;12;2;2;0;0;1
24/05/2020;Brussels;Brussels;15;255;55;38;5;4;5
25/05/2020;Brussels;Brussels;15;249;57;34;4;6;11
27/05/2020;Vlaams-Brabant;Flanders;6;28;7;4;3;3;4
28/05/2020;Luik;Wallonia;12;92;19;8;2;4;5
15/03/2020;Antwerpen;Flanders;14;50;9;4;0;8;8
19/03/2020;Luxembourg;Wallonia;3;23;6;3;0;10;2
19/03/2020;Oost-Vlaanderen;Flanders;14;59;16;12;0;22;6
21/03/2020;West-Vlaanderen;Flanders;11;131;23;17;0;33;7
22/03/2020;Luik;Wallonia;13;171;29;23;1;35;11
24/03/2020;Limburg;Flanders;7;235;44;32;0;83;16
24/03/2020;Oost-Vlaanderen;Flanders;13;186;57;29;1;51;12
01/04/2020;West-Vlaanderen;Flanders;11;566;104;66;0;61;42
04/04/2020;Luik;Wallonia;12;585;147;135;3;63;41
05/04/2020;Namur;Wallonia;6;151;41;34;2;14;4
06/04/2020;Luxembourg;Wallonia;3;125;28;21;0;11;3
07/04/2020;West-Vlaanderen;Flanders;11;673;132;76;1;63;53
12/04/2020;Luxembourg;Wallonia;3;107;20;17;1;3;6
14/04/2020;Hainaut;Wallonia;14;763;134;101;8;34;17
15/04/2020;Brabant Wallon;Wallonia;2;67;12;10;0;2;4
17/04/2020;Antwerpen;Flanders;14;804;193;153;4;48;51
17/04/2020;Brabant Wallon;Wallonia;2;57;14;13;0;2;9
18/04/2020;Brabant Wallon;Wallonia;3;57;13;11;1;1;3
21/04/2020;Luik;Wallonia;12;483;121;93;2;31;37
23/04/2020;West-Vlaanderen;Flanders;11;535;91;60;1;29;44
28/04/2020;Brabant Wallon;Wallonia;2;36;12;10;0;0;3
03/05/2020;West-Vlaanderen;Flanders;11;351;68;38;1;9;8
04/05/2020;Limburg;Flanders;7;260;57;30;3;5;3
08/05/2020;Brussels;Brussels;15;436;92;69;11;13;28
09/05/2020;Limburg;Flanders;7;176;42;23;2;10;25
09/05/2020;Oost-Vlaanderen;Flanders;14;236;52;29;2;8;21
10/05/2020;West-Vlaanderen;Flanders;11;251;51;31;3;4;5
13/05/2020;Namur;Wallonia;6;81;14;8;3;5;3
15/05/2020;Brabant Wallon;Wallonia;2;17;4;2;0;1;2
19/05/2020;Oost-Vlaanderen;Flanders;14;142;34;13;2;6;18
21/05/2020;Oost-Vlaanderen;Flanders;14;132;30;12;1;5;19
22/05/2020;Limburg;Flanders;7;104;20;15;0;3;2
23/05/2020;Luxembourg;Wallonia;3;20;2;2;0;0;5
30/05/2020;Oost-Vlaanderen;Flanders;14;89;24;7;1;2;13
16/03/2020;Brabant Wallon;Wallonia;2;8;2;2;0;3;0
20/03/2020;Antwerpen;Flanders;14;185;32;26;1;40;13
21/03/2020;Luxembourg;Wallonia;3;36;9;8;0;11;2
23/03/2020;Antwerpen;Flanders;14;308;56;42;1;46;7
24/03/2020;Antwerpen;Flanders;13;373;70;54;1;84;18
25/03/2020;Brussels;Brussels;15;415;98;67;4;69;25
08/04/2020;Hainaut;Wallonia;14;682;150;125;9;52;53
12/04/2020;Brabant Wallon;Wallonia;2;71;15;11;0;8;2
13/04/2020;Oost-Vlaanderen;Flanders;14;680;164;119;4;31;16
14/04/2020;Luik;Wallonia;12;575;150;123;2;8;36
20/04/2020;Antwerpen;Flanders;14;789;176;144;5;18;27
20/04/2020;Brussels;Brussels;15;802;183;133;16;18;16
21/04/2020;Luxembourg;Wallonia;3;91;19;14;0;7;7
21/04/2020;Oost-Vlaanderen;Flanders;14;597;136;91;2;28;55
23/04/2020;Brussels;Brussels;16;718;165;121;17;36;40
23/04/2020;Limburg;Flanders;7;318;74;59;1;12;25
25/04/2020;Antwerpen;Flanders;14;621;154;111;4;35;62
27/04/2020;Antwerpen;Flanders;14;606;145;102;4;21;15
28/04/2020;Antwerpen;Flanders;14;603;135;98;4;36;54
02/05/2020;West-Vlaanderen;Flanders;11;352;72;39;3;4;17
08/05/2020;Luik;Wallonia;12;184;52;30;1;8;22
13/05/2020;Hainaut;Wallonia;14;265;40;29;4;14;25
17/05/2020;Luik;Wallonia;12;136;35;18;1;2;0
19/05/2020;West-Vlaanderen;Flanders;11;231;40;21;0;12;13
21/05/2020;Luxembourg;Wallonia;3;24;2;2;0;0;5
25/05/2020;Hainaut;Wallonia;14;155;15;9;1;3;2
30/05/2020;Brussels;Brussels;15;184;39;21;3;3;12
20/03/2020;Namur;Wallonia;6;18;1;1;0;11;4
22/03/2020;Hainaut;Wallonia;14;268;59;46;2;37;5
26/03/2020;West-Vlaanderen;Flanders;11;352;66;42;0;58;23
28/03/2020;West-Vlaanderen;Flanders;11;459;89;53;0;74;37
05/04/2020;Brabant Wallon;Wallonia;2;63;19;17;0;6;1
08/04/2020;Limburg;Flanders;7;480;96;71;3;59;61
08/04/2020;West-Vlaanderen;Flanders;11;652;131;76;1;45;55
09/04/2020;Luik;Wallonia;12;639;161;148;2;49;46
15/04/2020;Luik;Wallonia;12;552;147;117;2;31;54
15/04/2020;Luxembourg;Wallonia;3;101;21;18;1;7;15
16/04/2020;Luik;Wallonia;12;519;142;108;2;19;39
17/04/2020;Limburg;Flanders;7;392;92;68;1;31;44
17/04/2020;Namur;Wallonia;6;182;42;28;4;10;14
19/04/2020;Brabant Wallon;Wallonia;2;51;12;9;0;2;1
19/04/2020;West-Vlaanderen;Flanders;11;586;108;62;1;22;23
20/04/2020;Limburg;Flanders;7;376;84;66;1;12;13
20/04/2020;Oost-Vlaanderen;Flanders;14;617;143;95;2;20;6
22/04/2020;Oost-Vlaanderen;Flanders;14;542;135;84;1;20;47
24/04/2020;Brussels;Brussels;15;706;165;113;17;36;48
24/04/2020;Limburg;Flanders;7;315;76;53;1;22;26
30/04/2020;Hainaut;Wallonia;14;509;84;57;6;24;38
05/05/2020;Antwerpen;Flanders;14;519;101;70;4;8;31
05/05/2020;Luik;Wallonia;12;229;59;33;1;4;33
09/05/2020;Luik;Wallonia;12;171;46;30;1;5;17
15/05/2020;Luik;Wallonia;12;141;37;22;1;5;16
16/05/2020;Namur;Wallonia;6;79;14;7;3;2;7
16/05/2020;West-Vlaanderen;Flanders;11;219;42;21;3;6;16
24/05/2020;Luik;Wallonia;12;108;22;9;2;1;1
28/05/2020;Namur;Wallonia;6;32;8;4;1;0;6
30/05/2020;Hainaut;Wallonia;14;85;8;5;1;7;19
18/03/2020;Brussels;Brussels;16;124;29;18;2;18;5
19/03/2020;Antwerpen;Flanders;14;155;22;16;1;35;6
24/03/2020;Luik;Wallonia;12;196;38;27;1;28;14
02/04/2020;Luik;Wallonia;12;570;135;120;3;88;49
03/04/2020;West-Vlaanderen;Flanders;11;639;115;80;0;108;43
04/04/2020;Vlaams-Brabant;Flanders;6;307;69;56;5;23;27
06/04/2020;Limburg;Flanders;7;502;97;64;0;32;10
07/04/2020;Luik;Wallonia;12;612;153;142;3;45;49
07/04/2020;Namur;Wallonia;6;141;41;34;2;15;16
09/04/2020;Namur;Wallonia;6;182;50;35;3;26;13
09/04/2020;Oost-Vlaanderen;Flanders;14;677;163;116;2;49;45
10/04/2020;Oost-Vlaanderen;Flanders;14;691;167;127;2;61;49
13/04/2020;Limburg;Flanders;7;450;95;71;2;23;12
15/04/2020;Limburg;Flanders;7;439;93;69;2;32;46
17/04/2020;West-Vlaanderen;Flanders;11;610;116;69;0;34;46
25/04/2020;Luik;Wallonia;12;384;101;80;0;4;26
26/04/2020;Limburg;Flanders;7;308;79;49;2;16;15
03/05/2020;Brussels;Brussels;15;540;120;82;14;8;16
04/05/2020;Oost-Vlaanderen;Flanders;14;346;74;38;2;14;8
12/05/2020;Hainaut;Wallonia;14;281;44;28;5;12;39
21/05/2020;Namur;Wallonia;6;68;16;5;2;4;5
26/05/2020;Oost-Vlaanderen;Flanders;14;104;27;7;1;5;16
27/05/2020;West-Vlaanderen;Flanders;11;183;30;13;1;10;15
28/05/2020;West-Vlaanderen;Flanders;11;157;22;10;0;7;24
19/03/2020;Brabant Wallon;Wallonia;2;15;4;4;0;2;1
23/03/2020;Brabant Wallon;Wallonia;2;31;6;6;0;3;0
24/03/2020;Luxembourg;Wallonia;3;52;18;10;0;8;1
26/03/2020;Oost-Vlaanderen;Flanders;14;326;85;56;1;43;20
27/03/2020;Brabant Wallon;Wallonia;2;56;14;13;0;12;1
28/03/2020;Vlaams-Brabant;Flanders;6;247;50;41;3;47;22
29/03/2020;Limburg;Flanders;7;457;101;68;0;62;20
30/03/2020;Oost-Vlaanderen;Flanders;14;570;121;80;1;78;28
04/04/2020;Brabant Wallon;Wallonia;2;57;17;15;0;7;9
07/04/2020;Antwerpen;Flanders;14;960;230;183;2;86;79
14/04/2020;West-Vlaanderen;Flanders;11;654;123;70;0;35;33
16/04/2020;Brussels;Brussels;15;822;172;138;17;46;65
16/04/2020;Luxembourg;Wallonia;3;99;20;18;1;7;6
18/04/2020;Oost-Vlaanderen;Flanders;14;587;130;95;3;35;61
22/04/2020;Luik;Wallonia;12;466;118;90;2;23;40
24/04/2020;Luxembourg;Wallonia;3;74;16;12;0;2;6
24/04/2020;Oost-Vlaanderen;Flanders;14;481;130;77;1;17;38
26/04/2020;Antwerpen;Flanders;14;607;157;109;4;12;19
27/04/2020;Hainaut;Wallonia;14;599;92;65;7;23;8
01/05/2020;Oost-Vlaanderen;Flanders;14;344;94;54;0;20;30
01/05/2020;West-Vlaanderen;Flanders;11;370;74;40;3;13;41
09/05/2020;Antwerpen;Flanders;14;407;85;57;2;9;46
09/05/2020;Luxembourg;Wallonia;3;36;6;4;0;3;6
10/05/2020;Antwerpen;Flanders;14;409;86;55;1;6;15
10/05/2020;Brabant Wallon;Wallonia;2;25;7;3;0;2;0
15/05/2020;Limburg;Flanders;7;125;28;15;1;6;14
15/05/2020;Namur;Wallonia;6;82;16;11;3;2;11
17/05/2020;Brabant Wallon;Wallonia;2;16;4;2;0;0;0
20/05/2020;Limburg;Flanders;7;109;21;14;0;10;5
22/05/2020;Antwerpen;Flanders;14;227;48;29;0;5;3
22/05/2020;Oost-Vlaanderen;Flanders;14;132;28;11;1;6;2
24/05/2020;Namur;Wallonia;6;59;11;5;1;1;0
26/05/2020;Luik;Wallonia;12;104;20;10;2;6;10
29/05/2020;Vlaams-Brabant;Flanders;6;23;6;4;3;0;2
29/05/2020;Brabant Wallon;Wallonia;2;3;1;0;0;0;0
30/05/2020;Namur;Wallonia;6;25;5;3;0;1;1
17/03/2020;Limburg;Flanders;7;34;13;5;0;23;11
18/03/2020;West-Vlaanderen;Flanders;11;50;9;6;0;25;1
27/03/2020;Hainaut;Wallonia;14;457;102;74;2;55;22
30/03/2020;Namur;Wallonia;6;112;30;25;2;13;2
31/03/2020;Antwerpen;Flanders;14;816;179;146;1;88;98
01/04/2020;Limburg;Flanders;7;503;109;82;0;46;34
01/04/2020;Oost-Vlaanderen;Flanders;14;614;132;88;1;67;53
04/04/2020;West-Vlaanderen;Flanders;11;665;121;77;0;66;43
22/04/2020;Brussels;Brussels;15;723;170;128;17;44;56
23/04/2020;Namur;Wallonia;6;168;43;26;4;5;14
23/04/2020;Vlaams-Brabant;Flanders;6;210;49;32;7;9;18
27/04/2020;Vlaams-Brabant;Flanders;6;189;40;22;7;5;2
29/04/2020;Brussels;Brussels;15;648;143;103;14;26;28
29/04/2020;Luik;Wallonia;12;324;81;53;1;14;28
07/05/2020;Hainaut;Wallonia;14;344;50;39;6;21;33
09/05/2020;Hainaut;Wallonia;14;298;47;32;6;8;33
11/05/2020;Antwerpen;Flanders;14;418;88;57;2;7;5
12/05/2020;Vlaams-Brabant;Flanders;6;88;20;12;4;3;8
13/05/2020;Limburg;Flanders;7;146;35;18;2;6;19
17/05/2020;Limburg;Flanders;7;118;25;13;1;6;1
19/05/2020;Limburg;Flanders;7;107;24;14;1;5;12
21/05/2020;Brabant Wallon;Wallonia;2;14;3;3;0;1;0
24/05/2020;Hainaut;Wallonia;14;159;15;9;2;6;4
24/05/2020;Limburg;Flanders;7;107;19;14;0;2;2
29/05/2020;West-Vlaanderen;Flanders;11;149;20;9;0;3;11
15/03/2020;Limburg;Flanders;7;20;6;3;0;9;3
18/03/2020;Limburg;Flanders;7;57;18;7;0;26;2
18/03/2020;Luik;Wallonia;12;41;2;2;0;13;4
21/03/2020;Limburg;Flanders;7;146;29;15;0;49;7
23/03/2020;Brussels;Brussels;16;298;67;48;3;21;9
23/03/2020;Luxembourg;Wallonia;3;47;18;10;0;4;0
